source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
16-73215,16-128161,2016-05-23,2016-09-09,NAME:nantes metropole,NAME_FALLBACK,3.5808147174770038,2016-11-23,2.463863337713535,0.5893561103810776,0.02449819009633698,0.2,0.6,0.27591339412898735,False,False,4,16,0.22568507320936626
16-73215,16-153330,2016-05-23,2016-10-26,NAME:nantes metropole,NAME_FALLBACK,5.124835742444152,2016-11-23,0.9198423127463863,0.8466929478756022,0.0,0.0,0.6,0.27167323696890056,False,False,5,16,0.22568507320936626
16-73215,16-137769,2016-05-23,2016-09-21,NAME:nantes metropole,NAME_FALLBACK,3.9750328515111693,2016-11-23,2.0696452036793693,0.6550591327201052,0.02333620314895918,0.1,0.6,0.261932454282162,True,False,6,16,0.22568507320936626
16-73215,16-128178,2016-05-23,2016-09-02,NAME:nantes metropole,NAME_FALLBACK,3.350854139290407,2016-11-23,2.6938239159001314,0.5510293473499781,0.0,0.1,0.6,0.22775733683749452,True,False,7,16,0.22568507320936626
16-73215,17-50845,2016-05-23,2017-04-11,NAME:nantes metropole,NAME_FALLBACK,10.611038107752956,2016-11-23,4.566360052562418,0.23893999123959697,0.03219807171852771,0.1,0.6,0.16100432291138395,True,False,8,16,0.22568507320936626
16-73215,17-58214,2016-05-23,2017-04-30,NAME:nantes metropole,NAME_FALLBACK,11.235216819973719,2016-11-23,5.19053876478318,0.13491020586947,0.017091599109930054,0.2,0.6,0.15970961115584303,False,False,9,16,0.22568507320936626
16-73215,17-65753,2016-05-23,2017-05-11,NAME:nantes metropole,NAME_FALLBACK,11.59658344283837,2016-11-23,5.551905387647832,0.07468243539202801,0.10307940750947046,0.1,0.6,0.14474840147632168,True,False,10,16,0.22568507320936626
16-73215,17-55087,2016-05-23,2017-04-21,NAME:nantes metropole,NAME_FALLBACK,10.939553219448094,2016-11-23,4.894875164257556,0.1841874726237407,0.01733835429538889,0.1,0.6,0.14211529215932128,True,False,11,16,0.22568507320936626
16-73215,16-102715,2016-05-23,2016-07-11,NAME:nantes metropole,NAME_FALLBACK,1.609724047306176,2016-11-23,4.434954007884363,0.2608409986859396,0.020096420090716827,0.0,0.6,0.13224399670323578,False,False,12,16,0.22568507320936626
16-73215,16-103833,2016-05-23,2016-07-13,NAME:nantes metropole,NAME_FALLBACK,1.6754270696452036,2016-11-23,4.369250985545335,0.27179150240911076,0.005637596060772147,0.0,0.6,0.12992103422354795,False,False,13,16,0.22568507320936626
16-73215,17-53540,2016-05-23,2017-05-05,NAME:nantes metropole,NAME_FALLBACK,11.399474375821287,2016-11-23,5.354796320630749,0.1075339465615418,0.033677652624519834,0.1,0.6,0.1286706650589674,True,False,14,16,0.22568507320936626
16-73215,17-51157,2016-05-23,2017-04-18,NAME:nantes metropole,NAME_FALLBACK,10.840998685939553,2016-11-23,4.7963206307490145,0.20061322820849758,0.01118346707738495,0.0,0.6,0.11406752052920913,False,False,15,16,0.22568507320936626
16-73215,16-80903,2016-05-23,2016-06-03,NAME:nantes metropole,NAME_FALLBACK,0.36136662286465177,2016-11-23,5.683311432325887,0.05278142794568552,0.0,0.1,0.6,0.10319535698642138,True,False,16,16,0.22568507320936626
16-73319,17-15684,2016-05-24,2017-02-03,NAME:commune de saint-nazaire,NAME_FALLBACK,8.377135348226018,2017-03-14,1.281208935611038,0.7864651773981604,0.3930005776923366,0.2,0.6,0.45416649654185787,False,False,1,8,0.06726177008245465
16-73319,17-39998,2016-05-24,2017-03-27,NAME:commune de saint-nazaire,NAME_FALLBACK,10.085413929040735,2017-03-14,0.42706964520367935,0.9288217257993868,0.2705694143130187,0.0,0.6,0.3869047264594032,False,False,2,8,0.06726177008245465
16-73319,17-54834,2016-05-24,2017-04-22,NAME:commune de saint-nazaire,NAME_FALLBACK,10.939553219448094,2017-03-14,1.281208935611038,0.7864651773981604,0.3477256002147249,0.0,0.6,0.3783202544246938,False,False,3,8,0.06726177008245465
16-73319,17-94724,2016-05-24,2017-07-09,NAME:commune de saint-nazaire,NAME_FALLBACK,13.501971090670171,2017-03-14,3.843626806833114,0.35939553219448095,0.4826874461761963,0.0,0.6,0.31878948921028893,False,False,4,8,0.06726177008245465
