source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-179747,20-50446,5,0.146823590876244,False,0.0032898722547288037
15-179747,20-62727,6,0.1036415045538738,False,0.0035668922214115665
15-182813,20-12202,1,0.3162901053874531,False,0.016795174416355526
15-182813,20-70855,2,0.2743031438921378,False,0.003863805179658126
15-182813,19-174098,3,0.1869527526843021,False,0.008837742803529692
15-182813,20-125567,4,0.1745314247765958,False,0.007077534689109025
15-182813,19-184490,5,0.1208796870955783,False,0.003686570182601207
15-182813,20-116086,6,0.1182411197240468,False,0.004070705807867392
15-182957,19-165120,1,0.2763218675439603,False,0.00317208385550624
15-182957,20-19986,2,0.2313299687549488,False,0.0032008560442352355
15-182957,20-27417,3,0.2055819328431518,False,0.0035374978598243026
15-182957,20-50446,4,0.1557029541731892,False,0.003261917126902883
15-182957,19-103545,5,0.1458630662507666,False,0.0038401175937928887
15-182957,20-62727,6,0.112411763816185,False,0.003471903517622801
15-182957,20-70773,7,0.1121567399835199,False,0.0066592246187697525
